order_id,order_date,customer_id,country,region,channel,product_category,product_name,unit_price,quantity,discount_rate,returned,gross_revenue,net_revenue
O425325,2023-03-28,C00006,Japan,Kansai,Mobile,Grocery,Tea,19.84,5,0.2,0,99.2,79.36
O362277,2025-01-23,C00006,Japan,Kansai,Mobile,Sports,Dumbbell,212.28,3,0.2,0,636.84,509.47
O108605,2024-09-29,C00021,Germany,North Rhine-Westphalia,Web,Home,Cookware,36.32,5,0.1,0,181.6,163.44
O208752,2024-03-03,C00323,Germany,North Rhine-Westphalia,Web,Electronics,Headphones,248.79,2,0.0,1,497.58,0.0
O271111,2024-02-26,C00041,Germany,Berlin,Mobile,Electronics,Headphones,169.45,2,0.05,0,338.9,321.96
O196635,2025-04-16,C00546,UK,Northern Ireland,Mobile,Apparel,Jeans,102.26,1,0.05,0,102.26,97.15
O954936,2023-03-25,C00903,USA,Northeast,Marketplace,Home,Curtains,165.69,4,0.0,0,662.76,662.76
O108409,2024-11-10,C00003,UK,England,Store,Grocery,Cereal,11.9,4,0.15,0,47.6,40.46
O449841,2023-07-16,C00235,Germany,Hamburg,Mobile,Electronics,Mouse,325.03,2,0.05,0,650.06,617.56
O980519,2023-04-02,C00003,Korea,Seoul,Mobile,Beauty,Moisturizer,18.22,2,0.05,0,36.44,34.62
O205789,2024-05-27,C00003,UK,Wales,Mobile,Home,Cookware,206.35,3,0.0,0,619.05,619.05
O689572,2025-08-08,C00017,Japan,Chubu,Mobile,Electronics,Headphones,124.19,4,0.0,0,496.76,496.76
O325178,2024-12-17,C00004,USA,Northeast,Web,Beauty,Mask,74.03,2,0.15,0,148.06,125.85
O389113,2025-01-11,C00179,UK,Northern Ireland,Mobile,Sports,Dumbbell,84.24,3,0.0,0,252.72,252.72
O499752,2024-11-29,C00243,Germany,North Rhine-Westphalia,Mobile,Grocery,Tea,25.56,1,0.0,0,25.56,25.56
O621170,2025-02-04,C00156,UK,Wales,Mobile,Beauty,Mask,37.95,5,0.05,0,189.75,180.26
O784799,2024-05-14,C00108,Japan,Tohoku,Store,Apparel,Jacket,91.81,5,0.1,0,459.05,413.15
O657165,2023-05-05,C00351,USA,Northeast,Mobile,Grocery,Pasta,3.3,4,0.0,1,13.2,0.0
O118499,2025-03-28,C00334,Germany,Hamburg,Web,Apparel,Jeans,65.55,5,0.0,0,327.75,327.75
O264635,2024-03-14,C00579,Germany,Berlin,Web,Sports,Running Shoes,183.89,4,0.1,0,735.56,662.0
O664766,2024-05-02,C00213,UK,England,Web,Grocery,Olive Oil,20.13,5,0.15,0,100.65,85.55
O359981,2023-12-28,C00029,USA,West,Web,Electronics,Headphones,224.74,3,0.0,0,674.22,674.22
O153847,2023-06-27,C00081,Germany,North Rhine-Westphalia,Mobile,Grocery,Coffee,26.0,2,0.1,0,52.0,46.8
O592549,2025-06-21,C00066,USA,Northeast,Web,Apparel,Jeans,73.62,5,0.0,0,368.1,368.1
O385306,2025-01-31,C00004,UK,England,Web,Home,Table,218.1,1,0.1,0,218.1,196.29
O855814,2024-09-19,C00417,Japan,Kansai,Web,Apparel,Cap,69.45,3,0.05,0,208.35,197.93
O900634,2024-01-27,C00736,Korea,Incheon,Mobile,Electronics,Keyboard,379.89,4,0.1,0,1519.56,1367.6
O216629,2025-03-12,C01100,Japan,Kyushu,Mobile,Sports,Water Bottle,194.4,4,0.1,0,777.6,699.84
O799451,2024-06-15,C00014,Germany,Hamburg,Web,Home,Cookware,111.06,4,0.0,0,444.24,444.24
O872501,2024-03-07,C00004,Korea,Seoul,Web,Beauty,Moisturizer,48.97,3,0.0,0,146.91,146.91
O676517,2024-03-14,C00004,Korea,Seoul,Web,Home,Cookware,172.39,5,0.1,0,861.95,775.76
O648086,2023-08-10,C00400,UK,Scotland,Web,Sports,Jersey,169.1,2,0.0,0,338.2,338.2
O517569,2023-03-31,C00150,Korea,Incheon,Web,Grocery,Olive Oil,9.88,1,0.05,0,9.88,9.39
O540692,2024-06-24,C00304,Japan,Chubu,Web,Beauty,Cleanser,35.0,4,0.0,0,140.0,140.0
O171054,2025-05-14,C00705,Japan,Kyushu,Web,Electronics,Keyboard,101.19,2,0.0,1,202.38,0.0
O229546,2023-03-04,C00012,Korea,Busan,Marketplace,Apparel,Cap,117.69,3,0.05,0,353.07,335.42
O715634,2025-04-15,C00030,UK,Scotland,Mobile,Home,Table,181.46,3,0.0,1,544.38,0.0
O594912,2025-03-17,C00374,USA,Northeast,Store,Electronics,Headphones,116.17,2,0.15,0,232.34,197.49
O256590,2023-09-27,C00015,UK,Northern Ireland,Web,Apparel,Jacket,87.48,5,0.0,0,437.4,437.4
O418268,2024-09-07,C00072,Korea,Busan,Web,Apparel,Jeans,118.17,2,0.0,0,236.34,236.34
O681644,2023-06-10,C00050,Korea,Busan,Marketplace,Grocery,Cereal,38.04,4,0.0,0,152.16,152.16
O270070,2025-01-08,C00122,Japan,Tohoku,Web,Home,Cookware,52.85,1,0.0,0,52.85,52.85
O289664,2024-11-13,C01124,Korea,Gyeonggi,Mobile,Grocery,Coffee,14.26,5,0.05,0,71.3,67.74
O891975,2023-12-12,C00004,USA,South,Marketplace,Beauty,Mask,47.01,5,0.0,0,235.05,235.05
O512241,2023-03-08,C00064,UK,Wales,Mobile,Beauty,Mask,78.0,1,0.0,0,78.0,78.0
O514514,2025-08-03,C00954,Korea,Incheon,Web,Grocery,Olive Oil,8.05,4,0.2,0,32.2,25.76
O166043,2024-03-10,C00027,Germany,Berlin,Mobile,Sports,Dumbbell,52.23,3,0.0,0,156.69,156.69
O171780,2025-05-19,C00279,Germany,North Rhine-Westphalia,Web,Apparel,Jacket,120.36,1,0.0,0,120.36,120.36
O684521,2024-10-22,C00807,Korea,Gyeonggi,Web,Apparel,Cap,88.18,4,0.15,0,352.72,299.81
O371924,2025-01-28,C00013,UK,Wales,Web,Beauty,Mask,25.96,4,0.05,0,103.84,98.65
O351691,2025-01-10,C00003,USA,Midwest,Store,Electronics,Mouse,185.95,5,0.0,0,929.75,929.75
O263354,2023-07-09,C00003,Japan,Kyushu,Mobile,Electronics,Monitor,97.07,4,0.2,0,388.28,310.62
O778107,2023-12-21,C00003,UK,Northern Ireland,Web,Electronics,Keyboard,176.94,4,0.05,0,707.76,672.37
O945319,2024-03-30,C00028,UK,Scotland,Web,Sports,Dumbbell,95.24,4,0.0,0,380.96,380.96
O334489,2024-04-29,C00005,Japan,Chubu,Mobile,Home,Curtains,36.91,4,0.0,0,147.64,147.64
O318755,2023-02-12,C00039,UK,Scotland,Marketplace,Electronics,Mouse,70.94,3,0.15,0,212.82,180.9
O801712,2024-06-16,C00301,UK,Wales,Web,Sports,Dumbbell,195.37,4,0.0,0,781.48,781.48
O555756,2023-05-31,C00020,UK,Wales,Web,Beauty,Sunscreen,107.42,1,0.1,0,107.42,96.68
O814765,2024-12-25,C00062,Korea,Busan,Store,Sports,Dumbbell,12.54,4,0.0,0,50.16,50.16
O770969,2024-10-27,C00005,Germany,Bavaria,Store,Electronics,Mouse,274.42,2,0.0,0,548.84,548.84
O815996,2025-06-17,C00219,USA,West,Marketplace,Grocery,Tea,6.47,3,0.15,0,19.41,16.5
O242659,2024-12-26,C00023,Germany,Bavaria,Web,Apparel,Cap,124.37,4,0.2,0,497.48,397.98
